,metadata-key,key,id,mapping-target,references,mapping-description,comments,tags,name
0,0,0,T1137,AC-10,[],,,[],Office Application Startup
1,1,1,T1137.002,AC-10,[],,,[],Office Test
2,2,2,T1528,AC-10,[],,,[],Steal Application Access Token
3,3,3,T1021.001,AC-11,[],,,[],Remote Desktop Protocol
4,4,4,T1563.002,AC-11,[],,,[],RDP Hijacking
5,5,5,T1021.001,AC-12,[],,,[],Remote Desktop Protocol
6,6,6,T1072,AC-12,[],,,[],Software Deployment Tools
7,7,7,T1563.002,AC-12,[],,,[],RDP Hijacking
8,8,8,T1137.002,AC-14,[],,,[],Office Test
9,9,9,T1003,AC-16,[],,,[],OS Credential Dumping
10,10,10,T1003.003,AC-16,[],,,[],NTDS
11,11,11,T1020.001,AC-16,[],,,[],Traffic Duplication
12,12,12,T1040,AC-16,[],,,[],Network Sniffing
13,13,13,T1070,AC-16,[],,,[],Indicator Removal on Host
14,14,14,T1070.001,AC-16,[],,,[],Clear Windows Event Logs
15,15,15,T1070.002,AC-16,[],,,[],Clear Linux or Mac System Logs
16,16,16,T1114,AC-16,[],,,[],Email Collection
17,17,17,T1114.001,AC-16,[],,,[],Local Email Collection
18,18,18,T1114.002,AC-16,[],,,[],Remote Email Collection
19,19,19,T1114.003,AC-16,[],,,[],Email Forwarding Rule
20,20,20,T1119,AC-16,[],,,[],Automated Collection
21,21,21,T1204,AC-16,[],,,[],User Execution
22,22,22,T1204.001,AC-16,[],,,[],Malicious Link
23,23,23,T1204.002,AC-16,[],,,[],Malicious File
24,24,24,T1222,AC-16,[],,,[],File and Directory Permissions Modification
25,25,25,T1222.001,AC-16,[],,,[],Windows File and Directory Permissions Modification
26,26,26,T1222.002,AC-16,[],,,[],Linux and Mac File and Directory Permissions Modification
27,27,27,T1530,AC-16,[],,,[],Data from Cloud Storage Object
28,28,28,T1537,AC-16,[],,,[],Transfer Data to Cloud Account
29,29,29,T1547.007,AC-16,[],,,[],Re-opened Applications
30,30,30,T1547.011,AC-16,[],,,[],Plist Modification
31,31,31,T1548,AC-16,[],,,[],Abuse Elevation Control Mechanism
32,32,32,T1548.003,AC-16,[],,,[],Sudo and Sudo Caching
33,33,33,T1550.001,AC-16,[],,,[],Application Access Token
34,34,34,T1552,AC-16,[],,,[],Unsecured Credentials
35,35,35,T1552.004,AC-16,[],,,[],Private Keys
36,36,36,T1552.005,AC-16,[],,,[],Cloud Instance Metadata API
37,37,37,T1557,AC-16,[],,,[],Man-in-the-Middle
38,38,38,T1557.002,AC-16,[],,,[],ARP Cache Poisoning
39,39,39,T1558,AC-16,[],,,[],Steal or Forge Kerberos Tickets
40,40,40,T1558.002,AC-16,[],,,[],Silver Ticket
41,41,41,T1558.003,AC-16,[],,,[],Kerberoasting
42,42,42,T1558.004,AC-16,[],,,[],AS-REP Roasting
43,43,43,T1564.004,AC-16,[],,,[],NTFS File Attributes
44,44,44,T1565,AC-16,[],,,[],Data Manipulation
45,45,45,T1565.001,AC-16,[],,,[],Stored Data Manipulation
46,46,46,T1565.002,AC-16,[],,,[],Transmitted Data Manipulation
47,47,47,T1602,AC-16,[],,,[],Data from Configuration Repository
48,48,48,T1602.001,AC-16,[],,,[],SNMP (MIB Dump)
49,49,49,T1602.002,AC-16,[],,,[],Network Device Configuration Dump
50,50,50,T1020.001,AC-17,[],,,[],Traffic Duplication
51,51,51,T1021,AC-17,[],,,[],Remote Services
52,52,52,T1021.001,AC-17,[],,,[],Remote Desktop Protocol
53,53,53,T1021.002,AC-17,[],,,[],SMB/Windows Admin Shares
54,54,54,T1021.003,AC-17,[],,,[],Distributed Component Object Model
55,55,55,T1021.004,AC-17,[],,,[],SSH
56,56,56,T1021.005,AC-17,[],,,[],VNC
57,57,57,T1021.006,AC-17,[],,,[],Windows Remote Management
58,58,58,T1037,AC-17,[],,,[],Boot or Logon Initialization Scripts
59,59,59,T1037.001,AC-17,[],,,[],Logon Script (Windows)
60,60,60,T1040,AC-17,[],,,[],Network Sniffing
61,61,61,T1047,AC-17,[],,,[],Windows Management Instrumentation
62,62,62,T1070,AC-17,[],,,[],Indicator Removal on Host
63,63,63,T1070.001,AC-17,[],,,[],Clear Windows Event Logs
64,64,64,T1070.002,AC-17,[],,,[],Clear Linux or Mac System Logs
65,65,65,T1114,AC-17,[],,,[],Email Collection
66,66,66,T1114.001,AC-17,[],,,[],Local Email Collection
67,67,67,T1114.002,AC-17,[],,,[],Remote Email Collection
68,68,68,T1114.003,AC-17,[],,,[],Email Forwarding Rule
69,69,69,T1119,AC-17,[],,,[],Automated Collection
70,70,70,T1133,AC-17,[],,,[],External Remote Services
71,71,71,T1137,AC-17,[],,,[],Office Application Startup
72,72,72,T1137.002,AC-17,[],,,[],Office Test
73,73,73,T1204,AC-17,[],,,[],User Execution
74,74,74,T1204.001,AC-17,[],,,[],Malicious Link
75,75,75,T1204.002,AC-17,[],,,[],Malicious File
76,76,76,T1219,AC-17,[],,,[],Remote Access Software
77,77,77,T1530,AC-17,[],,,[],Data from Cloud Storage Object
78,78,78,T1537,AC-17,[],,,[],Transfer Data to Cloud Account
79,79,79,T1543,AC-17,[],,,[],Create or Modify System Process
80,80,80,T1543.003,AC-17,[],,,[],Windows Service
81,81,81,T1550.001,AC-17,[],,,[],Application Access Token
82,82,82,T1552,AC-17,[],,,[],Unsecured Credentials
83,83,83,T1552.004,AC-17,[],,,[],Private Keys
84,84,84,T1557,AC-17,[],,,[],Man-in-the-Middle
85,85,85,T1557.002,AC-17,[],,,[],ARP Cache Poisoning
86,86,86,T1558,AC-17,[],,,[],Steal or Forge Kerberos Tickets
87,87,87,T1558.002,AC-17,[],,,[],Silver Ticket
88,88,88,T1558.003,AC-17,[],,,[],Kerberoasting
89,89,89,T1558.004,AC-17,[],,,[],AS-REP Roasting
90,90,90,T1563,AC-17,[],,,[],Remote Service Session Hijacking
91,91,91,T1563.001,AC-17,[],,,[],SSH Hijacking
92,92,92,T1563.002,AC-17,[],,,[],RDP Hijacking
93,93,93,T1565,AC-17,[],,,[],Data Manipulation
94,94,94,T1565.001,AC-17,[],,,[],Stored Data Manipulation
95,95,95,T1565.002,AC-17,[],,,[],Transmitted Data Manipulation
96,96,96,T1602,AC-17,[],,,[],Data from Configuration Repository
97,97,97,T1602.001,AC-17,[],,,[],SNMP (MIB Dump)
98,98,98,T1602.002,AC-17,[],,,[],Network Device Configuration Dump
99,99,99,T1011,AC-18,[],,,[],Exfiltration Over Other Network Medium
100,100,100,T1011.001,AC-18,[],,,[],Exfiltration Over Bluetooth
101,101,101,T1020.001,AC-18,[],,,[],Traffic Duplication
