,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,,T1137,Office Application Startup,[],Concurrent Session Control,AC-10,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
1,,T1137.002,Office Test,[],Concurrent Session Control,AC-10,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
2,,T1528,Steal Application Access Token,[],Concurrent Session Control,AC-10,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
3,,T1021.001,Remote Desktop Protocol,[],Session Lock,AC-11,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
4,,T1563.002,RDP Hijacking,[],Session Lock,AC-11,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
5,,T1021.001,Remote Desktop Protocol,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
6,,T1072,Software Deployment Tools,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
7,,T1563.002,RDP Hijacking,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
8,,T1137.002,Office Test,[],Permitted Actions Without Identification Or Authentication,AC-14,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
9,,T1003,OS Credential Dumping,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
10,,T1003.003,NTDS,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
11,,T1020.001,Traffic Duplication,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
12,,T1040,Network Sniffing,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
13,,T1070,Indicator Removal on Host,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
14,,T1070.001,Clear Windows Event Logs,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
15,,T1070.002,Clear Linux or Mac System Logs,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
16,,T1114,Email Collection,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
17,,T1114.001,Local Email Collection,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
18,,T1114.002,Remote Email Collection,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
19,,T1114.003,Email Forwarding Rule,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
20,,T1119,Automated Collection,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
21,,T1213,Data from Information Repositories,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
22,,T1213.001,Confluence,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
23,,T1213.002,Sharepoint,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
24,,T1222,File and Directory Permissions Modification,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
25,,T1222.001,Windows File and Directory Permissions Modification,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
26,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
27,,T1530,Data from Cloud Storage Object,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
28,,T1537,Transfer Data to Cloud Account,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
29,,T1547.007,Re-opened Applications,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
30,,T1547.011,Plist Modification,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
31,,T1548,Abuse Elevation Control Mechanism,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
32,,T1548.003,Sudo and Sudo Caching,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
33,,T1550.001,Application Access Token,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
34,,T1552,Unsecured Credentials,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
35,,T1552.004,Private Keys,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
36,,T1552.005,Cloud Instance Metadata API,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
37,,T1557,Man-in-the-Middle,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
38,,T1557.002,ARP Cache Poisoning,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
39,,T1558,Steal or Forge Kerberos Tickets,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
40,,T1558.002,Silver Ticket,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
41,,T1558.003,Kerberoasting,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
42,,T1558.004,AS-REP Roasting,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
43,,T1564.004,NTFS File Attributes,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
44,,T1565,Data Manipulation,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
45,,T1565.001,Stored Data Manipulation,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
46,,T1565.002,Transmitted Data Manipulation,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
47,,T1602,Data from Configuration Repository,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
48,,T1602.001,SNMP (MIB Dump),[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
49,,T1602.002,Network Device Configuration Dump,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
50,,T1020.001,Traffic Duplication,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
51,,T1021,Remote Services,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
52,,T1021.001,Remote Desktop Protocol,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
53,,T1021.002,SMB/Windows Admin Shares,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
54,,T1021.003,Distributed Component Object Model,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
55,,T1021.004,SSH,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
56,,T1021.005,VNC,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
57,,T1021.006,Windows Remote Management,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
58,,T1037,Boot or Logon Initialization Scripts,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
59,,T1037.001,Logon Script (Windows),[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
60,,T1040,Network Sniffing,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
61,,T1047,Windows Management Instrumentation,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
