,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,metadata-key
0,,T1556.006,Multi-Factor Authentication,[],[],,AC-1,mitigates,4
1,,T1556.007,Hybrid Identity,[],[],,AC-1,mitigates,4
2,,T1528,Steal Application Access Token,[],[],,AC-10,mitigates,4
3,,T1137,Office Application Startup,[],[],,AC-10,mitigates,4
4,,T1137.002,Office Test,[],[],,AC-10,mitigates,4
5,,T1185,Browser Session Hijacking,[],[],,AC-10,mitigates,4
6,,T1021.001,Remote Desktop Protocol,[],[],,AC-11,mitigates,4
7,,T1563.002,RDP Hijacking,[],[],,AC-11,mitigates,4
8,,T1505.005,Terminal Services DLL,[],[],,AC-12,mitigates,4
9,,T1021.001,Remote Desktop Protocol,[],[],,AC-12,mitigates,4
10,,T1072,Software Deployment Tools,[],[],,AC-12,mitigates,4
11,,T1185,Browser Session Hijacking,[],[],,AC-12,mitigates,4
12,,T1563.002,RDP Hijacking,[],[],,AC-12,mitigates,4
13,,T1137.002,Office Test,[],[],,AC-14,mitigates,4
14,,T1070.008,Clear Mailbox Data,[],[],,AC-16,mitigates,4
15,,T1647,Plist File Modification,[],[],,AC-16,mitigates,4
16,,T1070.001,Clear Windows Event Logs,[],[],,AC-16,mitigates,4
17,,T1537,Transfer Data to Cloud Account,[],[],,AC-16,mitigates,4
18,,T1567,Exfiltration Over Web Service,[],[],,AC-16,mitigates,4
19,,T1003.003,NTDS,[],[],,AC-16,mitigates,4
20,,T1005,Data from Local System,[],[],,AC-16,mitigates,4
21,,T1040,Network Sniffing,[],[],,AC-16,mitigates,4
22,,T1119,Automated Collection,[],[],,AC-16,mitigates,4
23,,T1530,Data from Cloud Storage Object,[],[],,AC-16,mitigates,4
24,,T1557,Adversary-in-the-Middle,[],[],,AC-16,mitigates,4
25,,T1020.001,Traffic Duplication,[],[],,AC-16,mitigates,4
26,,T1070,Indicator Removal on Host,[],[],,AC-16,mitigates,4
27,,T1222,File and Directory Permissions Modification,[],[],,AC-16,mitigates,4
28,,T1505,Server Software Component,[],[],,AC-16,mitigates,4
29,,T1547.007,Re-opened Applications,[],[],,AC-16,mitigates,4
30,,T1548.003,Sudo and Sudo Caching,[],[],,AC-16,mitigates,4
31,,T1550.001,Application Access Token,[],[],,AC-16,mitigates,4
32,,T1552.005,Cloud Instance Metadata API,[],[],,AC-16,mitigates,4
33,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-16,mitigates,4
34,,T1558.003,Kerberoasting,[],[],,AC-16,mitigates,4
35,,T1565,Data Manipulation,[],[],,AC-16,mitigates,4
36,,T1565.001,Stored Data Manipulation,[],[],,AC-16,mitigates,4
37,,T1565.002,Transmitted Data Manipulation,[],[],,AC-16,mitigates,4
38,,T1602.002,Network Device Configuration Dump,[],[],,AC-16,mitigates,4
39,,T1003,OS Credential Dumping,[],[],,AC-16,mitigates,4
40,,T1025,Data from Removable Media,[],[],,AC-16,mitigates,4
41,,T1041,Exfiltration Over C2 Channel,[],[],,AC-16,mitigates,4
42,,T1048,Exfiltration Over Alternative Protocol,[],[],,AC-16,mitigates,4
43,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],[],,AC-16,mitigates,4
44,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],[],,AC-16,mitigates,4
45,,T1052,Exfiltration Over Physical Medium,[],[],,AC-16,mitigates,4
46,,T1052.001,Exfiltration over USB,[],[],,AC-16,mitigates,4
47,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-16,mitigates,4
48,,T1114,Email Collection,[],[],,AC-16,mitigates,4
49,,T1114.001,Local Email Collection,[],[],,AC-16,mitigates,4
50,,T1114.002,Remote Email Collection,[],[],,AC-16,mitigates,4
51,,T1114.003,Email Forwarding Rule,[],[],,AC-16,mitigates,4
52,,T1213,Data from Information Repositories,[],[],,AC-16,mitigates,4
53,,T1213.001,Confluence,[],[],,AC-16,mitigates,4
54,,T1213.002,Sharepoint,[],[],,AC-16,mitigates,4
55,,T1222.001,Windows File and Directory Permissions Modification,[],[],,AC-16,mitigates,4
56,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,AC-16,mitigates,4
57,,T1505.002,Transport Agent,[],[],,AC-16,mitigates,4
58,,T1548,Abuse Elevation Control Mechanism,[],[],,AC-16,mitigates,4
59,,T1552,Unsecured Credentials,[],[],,AC-16,mitigates,4
60,,T1552.004,Private Keys,[],[],,AC-16,mitigates,4
61,,T1557.002,ARP Cache Poisoning,[],[],,AC-16,mitigates,4
62,,T1558.002,Silver Ticket,[],[],,AC-16,mitigates,4
63,,T1558.004,AS-REP Roasting,[],[],,AC-16,mitigates,4
64,,T1564.004,NTFS File Attributes,[],[],,AC-16,mitigates,4
65,,T1602,Data from Configuration Repository,[],[],,AC-16,mitigates,4
66,,T1602.001,SNMP (MIB Dump),[],[],,AC-16,mitigates,4
67,,T1070.008,Clear Mailbox Data,[],[],,AC-17,mitigates,4
68,,T1505.005,Terminal Services DLL,[],[],,AC-17,mitigates,4
69,,T1647,Plist File Modification,[],[],,AC-17,mitigates,4
70,,T1552.007,Container API,[],[],,AC-17,mitigates,4
71,,T1609,Container Administration Command,[],[],,AC-17,mitigates,4
72,,T1610,Deploy Container,[],[],,AC-17,mitigates,4
73,,T1133,External Remote Services,[],[],,AC-17,mitigates,4
74,,T1059,Command and Scripting Interpreter,[],[],,AC-17,mitigates,4
75,,T1070.001,Clear Windows Event Logs,[],[],,AC-17,mitigates,4
76,,T1537,Transfer Data to Cloud Account,[],[],,AC-17,mitigates,4
77,,T1040,Network Sniffing,[],[],,AC-17,mitigates,4
78,,T1119,Automated Collection,[],[],,AC-17,mitigates,4
79,,T1530,Data from Cloud Storage Object,[],[],,AC-17,mitigates,4
80,,T1557,Adversary-in-the-Middle,[],[],,AC-17,mitigates,4
81,,T1020.001,Traffic Duplication,[],[],,AC-17,mitigates,4
82,,T1021.001,Remote Desktop Protocol,[],[],,AC-17,mitigates,4
83,,T1047,Windows Management Instrumentation,[],[],,AC-17,mitigates,4
84,,T1059.001,PowerShell,[],[],,AC-17,mitigates,4
85,,T1059.002,AppleScript,[],[],,AC-17,mitigates,4
86,,T1059.005,Visual Basic,[],[],,AC-17,mitigates,4
87,,T1059.008,Network Device CLI,[],[],,AC-17,mitigates,4
88,,T1070,Indicator Removal on Host,[],[],,AC-17,mitigates,4
89,,T1219,Remote Access Software,[],[],,AC-17,mitigates,4
90,,T1543,Create or Modify System Process,[],[],,AC-17,mitigates,4
91,,T1543.003,Windows Service,[],[],,AC-17,mitigates,4
92,,T1547.003,Time Providers,[],[],,AC-17,mitigates,4
93,,T1547.004,Winlogon Helper DLL,[],[],,AC-17,mitigates,4
94,,T1547.009,Shortcut Modification,[],[],,AC-17,mitigates,4
95,,T1550.001,Application Access Token,[],[],,AC-17,mitigates,4
96,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-17,mitigates,4
97,,T1558.003,Kerberoasting,[],[],,AC-17,mitigates,4
98,,T1565,Data Manipulation,[],[],,AC-17,mitigates,4
99,,T1565.001,Stored Data Manipulation,[],[],,AC-17,mitigates,4
100,,T1565.002,Transmitted Data Manipulation,[],[],,AC-17,mitigates,4
101,,T1602.002,Network Device Configuration Dump,[],[],,AC-17,mitigates,4
102,,T1021,Remote Services,[],[],,AC-17,mitigates,4
103,,T1021.002,SMB/Windows Admin Shares,[],[],,AC-17,mitigates,4
104,,T1021.003,Distributed Component Object Model,[],[],,AC-17,mitigates,4
105,,T1021.004,SSH,[],[],,AC-17,mitigates,4
106,,T1021.005,VNC,[],[],,AC-17,mitigates,4
107,,T1021.006,Windows Remote Management,[],[],,AC-17,mitigates,4
108,,T1037,Boot or Logon Initialization Scripts,[],[],,AC-17,mitigates,4
109,,T1037.001,Logon Script (Windows),[],[],,AC-17,mitigates,4
110,,T1059.003,Windows Command Shell,[],[],,AC-17,mitigates,4
111,,T1059.004,Unix Shell,[],[],,AC-17,mitigates,4
112,,T1059.006,Python,[],[],,AC-17,mitigates,4
