,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,metadata_key
0,,T1137,Office Application Startup,[],[],,AC-10,mitigates,3
1,,T1137.002,Office Test,[],[],,AC-10,mitigates,3
2,,T1528,Steal Application Access Token,[],[],,AC-10,mitigates,3
3,,T1021.001,Remote Desktop Protocol,[],[],,AC-11,mitigates,3
4,,T1563.002,RDP Hijacking,[],[],,AC-11,mitigates,3
5,,T1021.001,Remote Desktop Protocol,[],[],,AC-12,mitigates,3
6,,T1072,Software Deployment Tools,[],[],,AC-12,mitigates,3
7,,T1563.002,RDP Hijacking,[],[],,AC-12,mitigates,3
8,,T1137.002,Office Test,[],[],,AC-14,mitigates,3
9,,T1003,OS Credential Dumping,[],[],,AC-16,mitigates,3
10,,T1003.003,NTDS,[],[],,AC-16,mitigates,3
11,,T1020.001,Traffic Duplication,[],[],,AC-16,mitigates,3
12,,T1040,Network Sniffing,[],[],,AC-16,mitigates,3
13,,T1070,Indicator Removal on Host,[],[],,AC-16,mitigates,3
14,,T1070.001,Clear Windows Event Logs,[],[],,AC-16,mitigates,3
15,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-16,mitigates,3
16,,T1114,Email Collection,[],[],,AC-16,mitigates,3
17,,T1114.001,Local Email Collection,[],[],,AC-16,mitigates,3
18,,T1114.002,Remote Email Collection,[],[],,AC-16,mitigates,3
19,,T1114.003,Email Forwarding Rule,[],[],,AC-16,mitigates,3
20,,T1119,Automated Collection,[],[],,AC-16,mitigates,3
21,,T1213,Data from Information Repositories,[],[],,AC-16,mitigates,3
22,,T1213.001,Confluence,[],[],,AC-16,mitigates,3
23,,T1213.002,Sharepoint,[],[],,AC-16,mitigates,3
24,,T1222,File and Directory Permissions Modification,[],[],,AC-16,mitigates,3
25,,T1222.001,Windows File and Directory Permissions Modification,[],[],,AC-16,mitigates,3
26,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,AC-16,mitigates,3
27,,T1530,Data from Cloud Storage Object,[],[],,AC-16,mitigates,3
28,,T1537,Transfer Data to Cloud Account,[],[],,AC-16,mitigates,3
29,,T1547.007,Re-opened Applications,[],[],,AC-16,mitigates,3
