,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,metadata_key
0,,T1556.006,Multi-Factor Authentication,[],[],,Policy and Procedures,mitigates,4
1,,T1556.007,Hybrid Identity,[],[],,Policy and Procedures,mitigates,4
2,,T1528,Steal Application Access Token,[],[],,Concurrent Session Control,mitigates,4
3,,T1137,Office Application Startup,[],[],,Concurrent Session Control,mitigates,4
4,,T1137.002,Office Test,[],[],,Concurrent Session Control,mitigates,4
5,,T1185,Browser Session Hijacking,[],[],,Concurrent Session Control,mitigates,4
6,,T1021.001,Remote Desktop Protocol,[],[],,Session Lock,mitigates,4
7,,T1563.002,RDP Hijacking,[],[],,Session Lock,mitigates,4
8,,T1505.005,Terminal Services DLL,[],[],,Session Termination,mitigates,4
9,,T1021.001,Remote Desktop Protocol,[],[],,Session Termination,mitigates,4
10,,T1072,Software Deployment Tools,[],[],,Session Termination,mitigates,4
11,,T1185,Browser Session Hijacking,[],[],,Session Termination,mitigates,4
12,,T1563.002,RDP Hijacking,[],[],,Session Termination,mitigates,4
13,,T1137.002,Office Test,[],[],,Permitted Actions Without Identification Or Authentication,mitigates,4
14,,T1070.008,Clear Mailbox Data,[],[],,Security Attributes,mitigates,4
15,,T1647,Plist File Modification,[],[],,Security Attributes,mitigates,4
16,,T1070.001,Clear Windows Event Logs,[],[],,Security Attributes,mitigates,4
17,,T1537,Transfer Data to Cloud Account,[],[],,Security Attributes,mitigates,4
18,,T1567,Exfiltration Over Web Service,[],[],,Security Attributes,mitigates,4
19,,T1003.003,NTDS,[],[],,Security Attributes,mitigates,4
20,,T1005,Data from Local System,[],[],,Security Attributes,mitigates,4
21,,T1040,Network Sniffing,[],[],,Security Attributes,mitigates,4
22,,T1119,Automated Collection,[],[],,Security Attributes,mitigates,4
23,,T1530,Data from Cloud Storage Object,[],[],,Security Attributes,mitigates,4
24,,T1557,Adversary-in-the-Middle,[],[],,Security Attributes,mitigates,4
25,,T1020.001,Traffic Duplication,[],[],,Security Attributes,mitigates,4
26,,T1070,Indicator Removal on Host,[],[],,Security Attributes,mitigates,4
27,,T1222,File and Directory Permissions Modification,[],[],,Security Attributes,mitigates,4
28,,T1505,Server Software Component,[],[],,Security Attributes,mitigates,4
29,,T1547.007,Re-opened Applications,[],[],,Security Attributes,mitigates,4
30,,T1548.003,Sudo and Sudo Caching,[],[],,Security Attributes,mitigates,4
31,,T1550.001,Application Access Token,[],[],,Security Attributes,mitigates,4
32,,T1552.005,Cloud Instance Metadata API,[],[],,Security Attributes,mitigates,4
33,,T1558,Steal or Forge Kerberos Tickets,[],[],,Security Attributes,mitigates,4
34,,T1558.003,Kerberoasting,[],[],,Security Attributes,mitigates,4
35,,T1565,Data Manipulation,[],[],,Security Attributes,mitigates,4
36,,T1565.001,Stored Data Manipulation,[],[],,Security Attributes,mitigates,4
37,,T1565.002,Transmitted Data Manipulation,[],[],,Security Attributes,mitigates,4
38,,T1602.002,Network Device Configuration Dump,[],[],,Security Attributes,mitigates,4
39,,T1003,OS Credential Dumping,[],[],,Security Attributes,mitigates,4
40,,T1025,Data from Removable Media,[],[],,Security Attributes,mitigates,4
41,,T1041,Exfiltration Over C2 Channel,[],[],,Security Attributes,mitigates,4
42,,T1048,Exfiltration Over Alternative Protocol,[],[],,Security Attributes,mitigates,4
43,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],[],,Security Attributes,mitigates,4
44,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],[],,Security Attributes,mitigates,4
45,,T1052,Exfiltration Over Physical Medium,[],[],,Security Attributes,mitigates,4
46,,T1052.001,Exfiltration over USB,[],[],,Security Attributes,mitigates,4
47,,T1070.002,Clear Linux or Mac System Logs,[],[],,Security Attributes,mitigates,4
48,,T1114,Email Collection,[],[],,Security Attributes,mitigates,4
49,,T1114.001,Local Email Collection,[],[],,Security Attributes,mitigates,4
50,,T1114.002,Remote Email Collection,[],[],,Security Attributes,mitigates,4
51,,T1114.003,Email Forwarding Rule,[],[],,Security Attributes,mitigates,4
52,,T1213,Data from Information Repositories,[],[],,Security Attributes,mitigates,4
53,,T1213.001,Confluence,[],[],,Security Attributes,mitigates,4
54,,T1213.002,Sharepoint,[],[],,Security Attributes,mitigates,4
55,,T1222.001,Windows File and Directory Permissions Modification,[],[],,Security Attributes,mitigates,4
56,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,Security Attributes,mitigates,4
57,,T1505.002,Transport Agent,[],[],,Security Attributes,mitigates,4
58,,T1548,Abuse Elevation Control Mechanism,[],[],,Security Attributes,mitigates,4
59,,T1552,Unsecured Credentials,[],[],,Security Attributes,mitigates,4
60,,T1552.004,Private Keys,[],[],,Security Attributes,mitigates,4
61,,T1557.002,ARP Cache Poisoning,[],[],,Security Attributes,mitigates,4
62,,T1558.002,Silver Ticket,[],[],,Security Attributes,mitigates,4
63,,T1558.004,AS-REP Roasting,[],[],,Security Attributes,mitigates,4
64,,T1564.004,NTFS File Attributes,[],[],,Security Attributes,mitigates,4
65,,T1602,Data from Configuration Repository,[],[],,Security Attributes,mitigates,4
66,,T1602.001,SNMP (MIB Dump),[],[],,Security Attributes,mitigates,4
67,,T1070.008,Clear Mailbox Data,[],[],,Remote Access,mitigates,4
68,,T1505.005,Terminal Services DLL,[],[],,Remote Access,mitigates,4
69,,T1647,Plist File Modification,[],[],,Remote Access,mitigates,4
70,,T1552.007,Container API,[],[],,Remote Access,mitigates,4
71,,T1609,Container Administration Command,[],[],,Remote Access,mitigates,4
72,,T1610,Deploy Container,[],[],,Remote Access,mitigates,4
73,,T1133,External Remote Services,[],[],,Remote Access,mitigates,4
74,,T1059,Command and Scripting Interpreter,[],[],,Remote Access,mitigates,4
75,,T1070.001,Clear Windows Event Logs,[],[],,Remote Access,mitigates,4
76,,T1537,Transfer Data to Cloud Account,[],[],,Remote Access,mitigates,4
77,,T1040,Network Sniffing,[],[],,Remote Access,mitigates,4
78,,T1119,Automated Collection,[],[],,Remote Access,mitigates,4
79,,T1530,Data from Cloud Storage Object,[],[],,Remote Access,mitigates,4
